error_type,error_label,accuracy,precision,recall,f1,sample_count,auc
Global (All),,0.6831416629277163,0.4096162736939436,0.2989708115404083,0.3456549302643129,42347,0.6541560352028618
No Error,0.0,0.7387991873396065,0.3059782608695652,0.32566883586406364,0.3155166374781086,37408,0.6590008816076915
Timing Error,5.0,0.23033509700176366,1.0,0.23033509700176366,0.3744266055045872,2835,
Preparation Error,2.0,0.2807174887892377,1.0,0.2807174887892377,0.438375350140056,2230,
Technique Error,6.0,0.3889642695612845,1.0,0.3889642695612845,0.5600781504395962,2211,
Measurement Error,4.0,0.2961190855927698,1.0,0.2961190855927698,0.45693191140278916,1881,
Temperature Error,3.0,0.19398907103825136,1.0,0.19398907103825136,0.32494279176201374,732,
