error_type,error_label,accuracy,precision,recall,f1,sample_count,auc
Global (All),,0.5735263432446531,0.3964945261528254,0.5688109780280797,0.46727266803505685,38340,0.5988330748775713
No Error,0.0,0.5725934039187052,0.26828450760876854,0.5608969866853539,0.36296027571195355,32868,0.5951682540375884
Measurement Error,4.0,0.6499701848539058,1.0,0.6499701848539058,0.7878568847126852,3354,
Timing Error,5.0,0.5628919218000737,1.0,0.5628919218000737,0.7203209818267642,2711,
Technique Error,6.0,0.5168665667166417,1.0,0.5168665667166417,0.6814924635532493,2668,
Preparation Error,2.0,0.6091245376078915,1.0,0.6091245376078915,0.757088122605364,2433,
Temperature Error,3.0,0.7135036496350365,1.0,0.7135036496350365,0.832800851970181,548,
