error_type,error_label,accuracy,precision,recall,f1,sample_count,auc
Global (All),,0.6738848088412402,0.4445452483556362,0.6613801248523705,0.5317056629365887,42347,0.7461755308526944
No Error,0.0,0.6727170658682635,0.3132361189007291,0.6461315979754158,0.4219273808961707,37408,0.744024451494492
Timing Error,5.0,0.6567901234567901,1.0,0.6567901234567901,0.7928464977645305,2835,
Preparation Error,2.0,0.6237668161434977,1.0,0.6237668161434977,0.7682960508146921,2230,
Technique Error,6.0,0.5974672094075079,1.0,0.5974672094075079,0.7480181200453001,2211,
Measurement Error,4.0,0.6921850079744817,1.0,0.6921850079744817,0.8180961357210179,1881,
Temperature Error,3.0,0.8032786885245902,1.0,0.8032786885245902,0.8909090909090909,732,
