error_type,error_label,accuracy,precision,recall,f1,sample_count,auc
Global (All),,0.645018257694314,0.4491327720864185,0.35123344173871657,0.39419567346212053,38340,0.6254427005929003
No Error,0.0,0.6965437507606183,0.3230711703851427,0.36327960756832517,0.34199762501649295,32868,0.6391306133323036
Measurement Error,4.0,0.5280262373285629,1.0,0.5280262373285629,0.6911219512195121,3354,
Timing Error,5.0,0.249723349317595,1.0,0.249723349317595,0.39964580873671784,2711,
Technique Error,6.0,0.38343328335832083,1.0,0.38343328335832083,0.5543213221349228,2668,
Preparation Error,2.0,0.3066173448417591,1.0,0.3066173448417591,0.469329977980497,2433,
Temperature Error,3.0,0.23722627737226276,1.0,0.23722627737226276,0.3834808259587021,548,
